No,Minggu,Tanggal Mulai,Tanggal Selesai,Fase,Kategori,Task,Deskripsi,PIC,Status,Prioritas,Milestone
1,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,Project Management,Setup GitHub Repository,Inisialisasi repo private; buat struktur folder; setup .gitignore; buat branch strategy,Project Manager,Belum Mulai,Tinggi,Repo & Environment Siap
2,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,Project Management,Koordinasi Tim Minggu 1,Memimpin weekly sync perdana; bahas pembagian tugas; setup Google Calendar,Project Manager,Belum Mulai,Tinggi,Repo & Environment Siap
3,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,AI/ML,Pengumpulan Dataset,Mengumpulkan dataset hate speech & abusive language dari GitHub dan Kaggle,AI/ML Engineer,Belum Mulai,Tinggi,Repo & Environment Siap
4,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,AI/ML,EDA (Exploratory Data Analysis),Menganalisis distribusi label; panjang teks; frekuensi kata; potensi bias dataset,AI/ML Engineer,Belum Mulai,Tinggi,Repo & Environment Siap
5,Weekly #1,11/05/2026,14/05/2026,Planning & Setup,AI/ML,Relabeling Dataset (Awal),Mengonversi label multi-kelas ke 2 kelas biner: PANTAS dan TIDAK PANTAS,AI/ML Engineer,Belum Mulai,Tinggi,Repo & Environment Siap
6,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,Backend,Setup FastAPI Project,Inisialisasi FastAPI; struktur folder; virtual environment; konfigurasi .env,Backend Developer,Belum Mulai,Tinggi,Repo & Environment Siap
7,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,Backend,Desain Database Schema,Merancang schema tabel: users; messages; rooms; violations (SQLAlchemy),Backend Developer,Belum Mulai,Tinggi,Repo & Environment Siap
8,Weekly #1,11/05/2026,17/05/2026,Planning & Setup,Frontend,Setup React Project,Inisialisasi React (Vite) + Tailwind CSS; konfigurasi folder components/pages/services,Frontend Developer,Belum Mulai,Tinggi,Repo & Environment Siap
9,Weekly #2,18/05/2026,24/05/2026,Development,AI/ML,Preprocessing Teks,Lowercasing; hapus URL/emoji; normalisasi slang; tokenisasi,AI/ML Engineer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
10,Weekly #2,18/05/2026,24/05/2026,Development,AI/ML,Split Dataset,Membagi data train/validation/test (70/15/15) dengan stratified split,AI/ML Engineer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
11,Weekly #2,18/05/2026,24/05/2026,Development,AI/ML,Relabeling Dataset (Finalisasi),Finalisasi konversi label; pastikan semua bahasa kasar masuk TIDAK PANTAS,AI/ML Engineer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
12,Weekly #2,18/05/2026,24/05/2026,Development,AI/ML,Fine-tuning IndoBERT (Iterasi 1),Melatih indobert-base-p1 binary classification (PyTorch + HuggingFace),AI/ML Engineer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
13,Weekly #2,18/05/2026,24/05/2026,Development,Backend,Endpoint POST /api/messages,Menerima pesan dari FE; panggil AI inference; simpan ke DB; return respons,Backend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
14,Weekly #2,18/05/2026,24/05/2026,Development,Backend,Endpoint GET /api/messages/{room_id},Mengambil riwayat pesan sebuah room dengan pagination,Backend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
15,Weekly #2,18/05/2026,24/05/2026,Development,Backend,WebSocket /ws/{room_id} (Awal),Mulai membangun koneksi WebSocket real-time antar pengguna,Backend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
16,Weekly #2,18/05/2026,24/05/2026,Development,Backend,Validasi & Keamanan,CORS setup; validasi input; sanitasi teks sebelum dikirim ke model,Backend Developer,Belum Mulai,Sedang,IndoBERT Iterasi 1 & API Moderasi
17,Weekly #2,18/05/2026,24/05/2026,Development,Frontend,Komponen ChatBubble,Pesan 2 varian: normal (PANTAS) atau tersembunyi (TIDAK PANTAS),Frontend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
18,Weekly #2,18/05/2026,24/05/2026,Development,Frontend,Komponen ChatInput,Input teks dengan tombol kirim; validasi input tidak kosong,Frontend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
19,Weekly #2,18/05/2026,24/05/2026,Development,Frontend,Komponen ChatHeader,Header ruang chat (nama grup; jumlah anggota aktif),Frontend Developer,Belum Mulai,Sedang,IndoBERT Iterasi 1 & API Moderasi
20,Weekly #2,18/05/2026,24/05/2026,Development,Frontend,Halaman Login,Form memilih nama pengguna simulasi sebelum masuk room chat,Frontend Developer,Belum Mulai,Sedang,IndoBERT Iterasi 1 & API Moderasi
21,Weekly #2,18/05/2026,21/05/2026,Development,Frontend,Halaman ChatRoom (Awal),Gabungkan komponen chat; kelola state pesan; scroll otomatis,Frontend Developer,Belum Mulai,Tinggi,IndoBERT Iterasi 1 & API Moderasi
22,Weekly #3,25/05/2026,31/05/2026,Development & Integration,AI/ML,Evaluasi Model,Hitung Accuracy/Precision/Recall/F1; Confusion Matrix; kalibrasi threshold,AI/ML Engineer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
23,Weekly #3,25/05/2026,31/05/2026,Development & Integration,AI/ML,Optimasi Model,Tuning hyperparameter; augmentasi data jika F1 < 82%,AI/ML Engineer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
24,Weekly #3,25/05/2026,31/05/2026,Development & Integration,AI/ML,Inference Function,Buat predict(text) -> {label; confidence} untuk dipanggil backend,AI/ML Engineer,Belum Mulai,Tinggi,Model Final & Streamlit Demo
